,english,german,arabic,french,spanish,chinese,russian,hindi,indonesian,japanese,swahili,polish,hungarian,turkish,greek,korean,tamil,finnish,basque,bosnian,swedish,lithuanian,icelandic,filipino,yoruba,amharic,georgian,italian,uzbek,irish,hausa,maori,thai,mongolian,romanian,punjabi,somali,dutch,portuguese,danish,slovenian,maltese,malagasy,javanese,albanian,armenian,khmer,kurdish,haitian creole
english,0.0,1405.9986573833864,2332.276323729223,967.9539948349885,1098.1170253567366,2313.809799047165,1889.8699936236594,2046.1042757990042,1839.1586530285563,2021.2098088884504,2136.080288064832,1887.9759182649063,2030.226184689395,2085.2263417114086,1931.1143993884396,2216.5514170462884,1904.7203698300843,1999.862579730236,1652.5957176489917,1554.741322853017,1532.476741640983,1793.7004167673042,1826.5375372206,1714.3859061343987,1898.8159179665254,1969.455999646368,1878.4441366002566,1048.7054900884264,2021.2955521538352,1229.9674597608125,2063.347640164401,2120.9694822023243,2291.2305944064433,2157.2072503694694,1182.9959374330406,1932.0444601901222,2201.854610194739,1364.9847390342625,1070.7842455568666,1343.4620210814655,1756.9830336802736,1227.4097217023786,1240.901780334736,1640.1568678356705,1674.0665551351358,2099.7518580514534,1858.9418389885834,1701.6881817157268,1199.7511366704327
german,1405.9986573833864,0.0,2305.319446054465,1539.984130404862,1660.9671828439805,2299.948836983367,1983.099090994371,2148.092084438814,1924.1488101581433,2154.309123349927,2287.6506509177098,1995.418852065606,2034.0190968978354,2120.1197633138327,2034.7160791078165,2271.647242064981,2164.0682336875025,2034.605734866672,1857.324897091382,1806.658228453551,1444.263364471021,1867.614635064795,1871.6524796516949,2039.1137825683109,2163.8751491655416,2057.9173651420438,1945.7292662279,1595.370682455186,2169.9579493444385,1798.686795181063,2327.307954109288,2242.6076973993395,2293.604281266633,2168.373623572463,1630.2824026660662,2170.857337271733,2326.8021196898153,1138.5615167964443,1683.047308516558,1274.2239692393687,1896.605072448181,1798.7634070001545,1857.076779103638,1875.4593616964216,1853.2296563408127,2108.450202809961,2048.4927783210696,1883.7121581012184,1740.4209896612178
arabic,2332.276323729223,2305.319446054465,0.0,2330.203686504802,2230.885726652948,2345.9252330572904,2373.9693028881566,1995.1445877308993,2061.4004786362625,2302.7296856834255,1993.6217057995193,2383.3742958293074,2363.4102790793277,2139.561516568384,2205.6033708880955,2414.8511843442966,2068.9476771263094,2099.070121622559,2029.9449803698492,2256.2294795822313,2221.254559654311,2085.873774191748,2198.8457483876227,2063.052332242955,2381.210156030748,2117.773272115857,1994.7541406730872,2226.8287745059397,2050.1568931925517,2150.2340224691166,1972.520048976589,2136.0490220738047,2251.0724882653526,2211.7151314235634,2154.5292436101677,1849.0483191602111,2074.5614406964437,2362.989007248613,2238.5746834532183,2304.2545375875934,2394.7344283445204,2108.088496199281,2139.8750436632135,2106.9341983624954,2322.225293686829,2181.007956455327,2235.3883309855046,2233.425721911993,2310.67576631704
french,967.9539948349885,1539.984130404862,2330.203686504802,0.0,979.286973491741,2330.7684280796666,1945.2534813147863,2177.9407922492696,1867.9630672019396,2121.286242380109,2228.910883400466,1973.4753667151108,2094.0295829413944,2032.0749323305279,1937.2109870838951,2223.2726618153856,2077.5098831899013,2007.6760869814239,1693.6776356588468,1708.7445910648416,1742.2516771733515,1832.597434683591,2006.484507757584,1938.0978003782543,2033.5997004565636,2035.275152976161,1922.5045544910572,939.3909888604198,2109.20223274747,1561.61747195368,2218.5857408447628,2191.314718065129,2377.8654732050154,2224.681285003432,1074.5378907924971,2126.4369660400275,2247.8943456093934,1558.7477288893535,998.1532604250115,1558.207683143817,1813.192554701177,1383.8483212150045,1670.4035733470346,1794.5970149904742,1636.7851708884405,2151.7744182131073,2028.388598071977,1806.0430498422995,1068.0297802385667
spanish,1098.1170253567366,1660.9671828439805,2230.885726652948,979.286973491741,0.0,2312.861792474084,1924.72878857571,2083.6489081414234,1817.742308018759,2086.2564884444846,2122.9727333556907,1905.8936765498343,2043.5518399933267,2083.6672439580134,1780.720269867367,2180.545448528304,2029.1006624513022,1977.4240464103034,1538.6298586010755,1660.7479582268368,1716.242421641537,1790.9310717657772,2011.518561593378,1812.9931336974087,2044.5389873753845,2036.8739271106883,1913.0141141495649,804.991662001806,2029.7873306842596,1617.2034832855477,2116.5328821354447,2103.1275326231766,2308.1921126022235,2145.4585506190306,1080.2975131266653,2022.5353952048156,2166.984968641954,1640.0931903077214,600.8340163775188,1676.0411904227658,1749.3282672311311,1381.5808494876876,1675.8261229644102,1861.3814841420249,1675.280239297703,2100.7175796678152,2041.2044723534718,1848.5556514321124,1333.2348124177668
chinese,2313.809799047165,2299.948836983367,2345.9252330572904,2330.7684280796666,2312.861792474084,0.0,2456.0027997764587,2421.9732682661197,2244.219577138623,2011.9196243650615,2248.30475694248,2406.8835726863904,2516.282290348139,2439.6926639187695,2354.7713829877703,1905.9680722498751,2434.3130194514315,2302.385860207806,2261.8499240185556,2337.682705227271,2351.967464903811,2270.825489204135,2340.18698134407,2280.1979283859987,2344.6938101211176,2357.7572475680577,2344.0924659765833,2285.7658012660368,2357.654440088073,2280.6086741031663,2354.7798602235866,2338.1312737762883,2329.1306393098102,2358.3991792585657,2335.237775368535,2367.6001788982117,2326.406234340131,2351.9098506952005,2333.408813498571,2372.522191153697,2381.565901123135,2372.538389338343,2316.1776512504016,2260.7627866640028,2359.8421971781486,2428.32704931755,2369.3211666036614,2285.3867928131967,2378.8973235518843
russian,1889.8699936236594,1983.099090994371,2373.9693028881566,1945.2534813147863,1924.72878857571,2456.0027997764587,0.0,2209.461216615762,2130.9988994112005,2237.6161695305973,2311.530624960469,1549.9393049841417,2085.03725981191,2192.416186213446,1977.8031506811246,2299.0579021799063,2239.188570039659,2025.3480359133198,1961.3610205825764,1471.6319858015524,1978.6174833579128,1770.2588064154845,2221.2460948954426,2140.4723259979864,2372.5466839074284,2157.389071015722,1958.6392544764974,1874.2183415732582,2055.7780012708217,2070.13997736952,2383.579560663825,2310.369628613376,2381.1608863520332,2205.1945612732056,1829.1044582096467,2168.1581377408393,2367.8983934700605,1977.269501289929,1899.1247465824283,1988.5134115982323,1495.425445117455,2043.5684706247182,2100.287981754712,2128.518712401023,2016.7378282284294,2102.7663938043725,2221.5684692033933,2156.2300568430596,1926.2262707233615
hindi,2046.1042757990042,2148.092084438814,1995.1445877308993,2177.9407922492696,2083.6489081414234,2421.9732682661197,2209.461216615762,0.0,1978.9728592487936,2208.009521297359,2170.9438471950502,2261.3544052957213,2316.7946775933997,2239.1399193657653,2149.3181452409876,2322.7711164292614,1993.7108981081121,2060.8603062303528,1990.8825622027682,2170.089080107663,2107.572636802749,2106.53610209971,2142.2600364536474,1966.4569926152942,2337.97817206863,2250.583019522615,2110.0647359539266,2107.360682553297,2150.7403127448993,2022.8653283636595,1989.2028807879626,2037.8003659754431,2183.181776270466,2198.9354571052886,2102.96373497646,1424.3814347574644,2084.150467116362,2158.3616521973745,2073.460146031721,2164.830725472017,2195.2645899656764,2198.690396391897,1934.3403728168073,2051.9835997758314,2221.332824286786,2042.089849457293,2044.9751103692079,2187.1939504138504,2174.4309622451533
indonesian,1839.1586530285563,1924.1488101581433,2061.4004786362625,1867.9630672019396,1817.742308018759,2244.219577138623,2130.9988994112005,1978.9728592487936,0.0,2140.1910472881395,2027.6997852211125,2113.950136876177,2143.301575757105,2066.1374180713765,2051.3894443301224,2165.172931060348,2006.23595908514,1971.4903162792523,1805.8909517979723,1938.9545549284335,1931.2616679638747,1904.4069316155176,2097.2717008861437,1771.189256821694,2216.1174886896706,2005.8862297338449,1944.0311693586077,1860.2114853976582,2155.4344538910764,1963.6986345690082,2047.6021860677843,2055.1603425148664,2102.2887864917816,2155.922785542969,1820.755149114209,1871.2737593074332,2119.9256473978967,1902.8867857199398,1839.521085998755,1976.3375424820088,2040.497853420916,1885.1573210462052,1896.5196396057588,1300.8996964061369,1977.3484496693468,2087.2475667514605,2047.0419734755956,1938.375350542943,1905.1615020827437
japanese,2021.2098088884504,2154.309123349927,2302.7296856834255,2121.286242380109,2086.2564884444846,2011.9196243650615,2237.6161695305973,2208.009521297359,2140.1910472881395,0.0,2085.4494256760067,2278.7002490492278,2305.3511213664688,2217.946642174958,2106.5108899342745,1956.8260852305846,2154.579355431661,2115.10080295883,1998.4009626240695,2108.8975063494877,2148.634667980003,2084.138593475261,2150.674184906668,2115.470598261338,2235.2450185679954,2184.7916174681,2109.4370783901886,2063.8047152859576,2132.1240397065576,2070.6571977369144,2218.635763670213,2118.0809536240195,2296.075031789196,2190.258184265831,2137.397292944074,2128.6772286015917,2331.7085964629237,2211.128574212467,2091.181462986329,2145.7543255885275,2218.072129428881,2092.9443064213706,2081.763584630247,2080.8737182990803,2196.8863265330856,2201.9906389101952,2194.830328483822,2152.7523610275575,2097.4860587277813
swahili,2136.080288064832,2287.6506509177098,1993.6217057995193,2228.910883400466,2122.9727333556907,2248.30475694248,2311.530624960469,2170.9438471950502,2027.6997852211125,2085.4494256760067,0.0,2266.7308322269137,2367.6086553966593,2162.6424791296668,2164.895240131655,2265.773403378187,1989.9087767099409,2057.7889728912323,2015.3752044948362,2171.3052941110386,2180.7090275136925,2063.0645056303338,2162.5685017832866,2009.276792742821,2194.469743464988,2050.4012668355313,2081.122685310932,2126.5061931645623,2107.281955710789,2043.9802214603358,1927.0840343854488,2060.813997944915,2260.521472550368,2204.721113741742,2090.520638021508,1876.3526519984496,2103.7228335052396,2310.8783991831506,2121.4014340743897,2270.878967600193,2264.655732169047,2079.980184196138,2059.2299278372157,2000.9490629356017,2251.5601175726974,2262.5487216032707,2176.1528321341625,2149.3866765286766,2179.491506708805
polish,1887.9759182649063,1995.418852065606,2383.3742958293074,1973.4753667151108,1905.8936765498343,2406.8835726863904,1549.9393049841417,2261.3544052957213,2113.950136876177,2278.7002490492278,2266.7308322269137,0.0,2127.1203344957844,2191.1748937554667,2059.5232134609655,2281.6999161920317,2254.150285470018,2108.677046407838,1935.42365766082,1561.9744717175781,2011.4695929212864,1894.9492187925653,2210.777354991862,2129.3023490800856,2254.4869745532264,2189.4362962636455,2124.7451444660087,1831.0008869562753,2182.8588746586374,2024.2646223611243,2312.240456648017,2325.9516389725964,2373.917743889632,2325.8627015634725,1846.8714319924604,2199.450801184991,2344.554710969399,1978.2197928485346,1879.37276830665,2008.561906484593,1616.4207914903961,2002.5850921320653,2051.7864153774576,2094.5262408633985,2070.503883226977,2287.496146201806,2211.4374669756694,2113.0066961929447,1937.7691871710936
hungarian,2030.226184689395,2034.0190968978354,2363.4102790793277,2094.0295829413944,2043.5518399933267,2516.282290348139,2085.03725981191,2316.7946775933997,2143.301575757105,2305.3511213664688,2367.6086553966593,2127.1203344957844,0.0,2250.3834302592786,2008.2903282360421,2285.451906617063,2305.044547655464,2041.179001990437,2017.010613509097,2001.3919374140812,2096.611841713107,1937.0584998642776,2218.3244398615698,2191.840368589507,2340.0210005745603,2219.3539407606822,2145.497853628598,1990.4765579157547,2234.1548123287707,2111.598549343236,2401.75140247291,2361.332177530623,2446.767953384121,2291.3698862455753,2009.0959058307408,2296.9626480856746,2386.8017566525477,2065.40826243208,1996.0856121384663,2025.4757942584922,2001.1533408739094,2167.507295256943,2201.3509091056244,2181.8728356159436,2138.9441026373893,2249.130822514842,2239.9167119619606,2181.456250502015,2100.517471407641
turkish,2085.2263417114086,2120.1197633138327,2139.561516568384,2032.0749323305279,2083.6672439580134,2439.6926639187695,2192.416186213446,2239.1399193657653,2066.1374180713765,2217.946642174958,2162.6424791296668,2191.1748937554667,2250.3834302592786,0.0,2072.2698730482166,2322.5492366571634,2129.5982915731015,2096.348209361338,2056.97669548626,2090.8628083236213,2110.517124697104,2007.0689182699186,2214.548293964268,2154.106271641845,2325.520497688475,2088.9014503775084,2041.3973762768242,2072.6820155066753,1857.158765196917,2134.1487105064457,2216.1773290890987,2295.122020218471,2380.1352352166746,2126.3695565073363,2017.2646340858441,2145.0394237089135,2332.8668791807995,2103.184571471972,2096.1056857024155,2074.7037733365682,2184.839292078326,2125.976928000854,2169.665967616331,2147.430283100087,2126.3832101054463,2232.0036285625583,2286.5867510953763,2079.614844315973,2103.4965556844545
greek,1931.1143993884396,2034.7160791078165,2205.6033708880955,1937.2109870838951,1780.720269867367,2354.7713829877703,1977.8031506811246,2149.3181452409876,2051.3894443301224,2106.5108899342745,2164.895240131655,2059.5232134609655,2008.2903282360421,2072.2698730482166,0.0,2290.512810713208,2122.4140192567065,1989.2904200206808,1931.7470660235902,1894.3614211774006,2028.3509666096836,1775.7239514104558,2152.295961312344,2056.361241012364,2157.6863142183784,2002.5894694945564,1996.9576743221817,1780.371854525835,2024.5689462478294,1983.1407373331353,2215.418547729156,2124.8333227589605,2365.0914148715965,2212.598273844648,1895.3516340166452,2105.721679644903,2228.636388129246,2018.8498029728291,1810.569682536946,2032.2509157099323,1909.608665017428,1985.5854963575991,2039.8382298668503,2090.387002132267,1933.076159493807,2133.8330715975967,2128.367713459833,2067.603579321104,1951.3626557629452
korean,2216.5514170462884,2271.647242064981,2414.8511843442966,2223.2726618153856,2180.545448528304,1905.9680722498751,2299.0579021799063,2322.7711164292614,2165.172931060348,1956.8260852305846,2265.773403378187,2281.6999161920317,2285.451906617063,2322.5492366571634,2290.512810713208,0.0,2401.874525319638,2226.0135146258203,2195.3576002811565,2240.2868446929815,2261.609460612194,2224.1566555802506,2230.5558910089135,2190.317012424408,2286.860390243435,2327.0175539954703,2234.248740284038,2200.8941347380237,2310.3565819960877,2220.7768168374723,2359.4719214897077,2364.6420642256103,2420.049969447782,2276.8608228637254,2253.8388919578247,2316.9726485912443,2299.4100852390516,2258.7543831867865,2173.7561566520594,2263.1277294043766,2272.9766233321247,2319.9520626066,2234.3108794493915,2150.7010288228626,2302.1865486683228,2317.7646636407735,2252.7323944337077,2281.5668614391175,2216.6393414753547
tamil,1904.7203698300843,2164.0682336875025,2068.9476771263094,2077.5098831899013,2029.1006624513022,2434.3130194514315,2239.188570039659,1993.7108981081121,2006.23595908514,2154.579355431661,1989.9087767099409,2254.150285470018,2305.044547655464,2129.5982915731015,2122.4140192567065,2401.874525319638,0.0,1989.329231368587,1854.1701642982944,2074.149992253768,2048.640750879556,1967.6884414622439,2069.9956018076223,1902.0131884158573,2225.6752967277826,2076.2049073462845,2011.2782079157835,2006.5915357966974,2155.756232503959,1934.0886017014984,1972.2487161290517,2015.0049771695185,2239.382575725854,2212.0474560481243,1920.6720647360096,1706.9446181695362,2169.2630208749943,2210.498844525505,2028.1511343930258,2162.9687489684247,2200.1142304207406,2006.1525930167536,1826.1735313691543,1935.7644678617044,2193.7055901535728,2063.3942631747364,2028.945157611269,2126.29651646772,2119.4231454456126
finnish,1999.862579730236,2034.605734866672,2099.070121622559,2007.6760869814239,1977.4240464103034,2302.385860207806,2025.3480359133198,2060.8603062303528,1971.4903162792523,2115.10080295883,2057.7889728912323,2108.677046407838,2041.179001990437,2096.348209361338,1989.2904200206808,2226.0135146258203,1989.329231368587,0.0,1894.3162462441305,1985.3313047817421,1938.8187877865078,1846.4219126209382,2056.290822578869,1993.9380176911786,2270.7540410058127,2109.121420409414,1970.7643909470662,1952.5445616764289,2092.5748339112224,2032.9045792999432,2123.4167269797413,2070.7700799997347,2311.2589101338717,2184.252720272705,1931.196899600661,1974.5683962588075,2226.430790734772,2083.089872666606,1997.1371783138418,2046.974126530081,2010.9771055954468,2048.948711046242,1998.4672854651067,2017.212349477075,2119.4756983954203,2097.629701933134,2143.04222359126,2127.9091095474337,2038.7389712076474
basque,1652.5957176489917,1857.324897091382,2029.9449803698492,1693.6776356588468,1538.6298586010755,2261.8499240185556,1961.3610205825764,1990.8825622027682,1805.8909517979723,1998.4009626240695,2015.3752044948362,1935.42365766082,2017.010613509097,2056.97669548626,1931.7470660235902,2195.3576002811565,1854.1701642982944,1894.3162462441305,0.0,1718.7038719502843,1850.7125259763018,1728.5574764888838,2005.6381011787366,1793.3802895698807,2056.1667909230787,1954.2341324052643,1827.1525067017656,1571.614134735242,2035.2886317506916,1774.1292329714252,1958.427187121783,1929.978119111659,2246.028105905986,2075.6733140382566,1590.9643791765197,1757.1223574903674,2071.5319622434213,1886.860074856917,1538.7612361446616,1866.6769373016934,1832.241029367719,1689.8140190660204,1768.0850627972375,1824.5145287029475,1852.8046496888824,1992.156470829076,2045.4326465052309,1902.3882392353537,1704.404580063494
bosnian,1554.741322853017,1806.658228453551,2256.2294795822313,1708.7445910648416,1660.7479582268368,2337.682705227271,1471.6319858015524,2170.089080107663,1938.9545549284335,2108.8975063494877,2171.3052941110386,1561.9744717175781,2001.3919374140812,2090.8628083236213,1894.3614211774006,2240.2868446929815,2074.149992253768,1985.3313047817421,1718.7038719502843,0.0,1779.5240605951592,1658.3115027290753,2009.7842381810874,1928.276318468722,2097.2088272896967,2053.195123056709,1883.8249854400622,1545.9887023222213,2007.2356668524244,1792.9380177628018,2172.407039704923,2162.507500112228,2358.342461096206,2173.8927136517805,1584.9334535815697,1992.9774055823561,2227.1577476659886,1813.1541228793017,1591.3153159828798,1771.5866595885755,954.7878714847607,1733.5967946243322,1780.5693322529346,1870.7532402577237,1867.8006653431107,2125.9891967179483,2078.3436422365994,1871.0817115269926,1717.4280360681428
swedish,1532.476741640983,1444.263364471021,2221.254559654311,1742.2516771733515,1716.242421641537,2351.967464903811,1978.6174833579128,2107.572636802749,1931.2616679638747,2148.634667980003,2180.7090275136925,2011.4695929212864,2096.611841713107,2110.517124697104,2028.3509666096836,2261.609460612194,2048.640750879556,1938.8187877865078,1850.7125259763018,1779.5240605951592,0.0,1887.069265250193,1559.1256167920444,1978.317858556616,2150.0026119830345,2122.257142502574,1957.0316955288986,1669.3696528242428,2103.0871253161945,1865.279677285041,2134.281740918659,2127.8581351782796,2309.4799436829853,2144.7940644497417,1651.973286157274,1975.9440299944295,2238.7932833674,1420.0915269325656,1686.2060810180938,1002.4369500328589,1884.132173946946,1787.5443144802362,1791.038357979962,1857.4669492271223,1906.3942670000538,2113.662114174839,2055.3031581481087,1976.4856244836326,1760.532504240969
lithuanian,1793.7004167673042,1867.614635064795,2085.873774191748,1832.597434683591,1790.9310717657772,2270.825489204135,1770.2588064154845,2106.53610209971,1904.4069316155176,2084.138593475261,2063.0645056303338,1894.9492187925653,1937.0584998642776,2007.0689182699186,1775.7239514104558,2224.1566555802506,1967.6884414622439,1846.4219126209382,1728.5574764888838,1658.3115027290753,1887.069265250193,0.0,1994.0642167859512,1874.7226952558242,2144.7454482785674,1942.4580088282332,1820.7766901903688,1768.2689688922458,1953.5247036597293,1892.057314350189,2077.930092240091,2084.4260163027348,2272.114197566828,2128.976686126668,1685.823933596155,1929.3672070398984,2157.0233094262835,1870.62452833171,1770.5670977162922,1852.9542225944783,1713.9917564038572,1860.3350755467713,1920.429459843438,1895.18737276657,1885.185088255034,2043.5113373042366,2144.7019608244555,1899.1935516501687,1831.9806126061148
icelandic,1826.5375372206,1871.6524796516949,2198.8457483876227,2006.484507757584,2011.518561593378,2340.18698134407,2221.2460948954426,2142.2600364536474,2097.2717008861437,2150.674184906668,2162.5685017832866,2210.777354991862,2218.3244398615698,2214.548293964268,2152.295961312344,2230.5558910089135,2069.9956018076223,2056.290822578869,2005.6381011787366,2009.7842381810874,1559.1256167920444,1994.0642167859512,0.0,2058.9626070982536,2191.146479477913,2183.190242003097,2062.09263936005,1978.6997886256756,2177.945325504108,1956.8500390921936,2155.8106813027393,2166.3499080886295,2281.75512173487,2221.347202299117,1969.107444287093,1981.9043378938513,2253.3178905995414,1860.3232348718439,2006.7273322653612,1633.1795396515058,2090.866682704879,2011.4999509315771,1923.7793205022035,2010.8517263301032,2157.3204133167233,2180.4005414831113,2135.612608146812,2079.095725395118,2065.9413905448
filipino,1714.3859061343987,2039.1137825683109,2063.052332242955,1938.0978003782543,1812.9931336974087,2280.1979283859987,2140.4723259979864,1966.4569926152942,1771.189256821694,2115.470598261338,2009.276792742821,2129.3023490800856,2191.840368589507,2154.106271641845,2056.361241012364,2190.317012424408,1902.0131884158573,1993.9380176911786,1793.3802895698807,1928.276318468722,1978.317858556616,1874.7226952558242,2058.9626070982536,0.0,2174.5207830515,2101.0211189438496,1982.3166944179923,1841.3369823055455,2103.9606397731955,1851.1475292708587,1898.0673396422521,1929.8325299106502,2118.6729974986474,2071.8464991044616,1850.1587335340664,1742.0628522351785,2000.2381157742063,2079.267661383916,1834.1061921901962,2007.0749709064125,2099.9364206260984,1903.483400217495,1676.1923502797408,1685.1442389581703,2145.4576782191716,2074.0426415689194,1955.821437690299,2072.486206799647,1867.670965182935
